"best_actor_year","best_actor_url","best_actor_name","best_actor_name_url"
"1927/28 (1st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=1&view=3-Award%20Category-Chron","Emil Jannings","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3&view=1-Nominee-Alpha"
"1928/29 (2nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=2&view=3-Award%20Category-Chron","Warner Baxter","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=43&view=1-Nominee-Alpha"
"1929/30 (3rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=3&view=3-Award%20Category-Chron","George Arliss","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=50&view=1-Nominee-Alpha"
"1930/31 (4th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=4&view=3-Award%20Category-Chron","Lionel Barrymore","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=96&view=1-Nominee-Alpha"
"1931/32 (5th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=5&view=3-Award%20Category-Chron","Wallace Beery","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=145&view=1-Nominee-Alpha"
"1932/33 (6th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=6&view=3-Award%20Category-Chron","Charles Laughton","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=192&view=1-Nominee-Alpha"
"1934 (7th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=7&view=3-Award%20Category-Chron","Clark Gable","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=256&view=1-Nominee-Alpha"
"1935 (8th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=8&view=3-Award%20Category-Chron","Victor McLaglen","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=322&view=1-Nominee-Alpha"
"1936 (9th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=9&view=3-Award%20Category-Chron","Paul Muni","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=406&view=1-Nominee-Alpha"
"1937 (10th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=10&view=3-Award%20Category-Chron","Spencer Tracy","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=509&view=1-Nominee-Alpha"
