"best_actress_year","best_actress_url","best_actress_name","best_actress_name_url","best_actress_film_name","best_actress_film_url"
"1927/28 (1st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=1&view=3-Award%20Category-Chron","Janet Gaynor","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6&view=1-Nominee-Alpha","7th Heaven","http://awardsdatabase.oscars.org/Search/Nominations?filmId=956&view=2-Film%20Title-Alpha"
"1927/28 (1st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=1&view=3-Award%20Category-Chron","Janet Gaynor","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6&view=1-Nominee-Alpha","Street Angel","http://awardsdatabase.oscars.org/Search/Nominations?filmId=960&view=2-Film%20Title-Alpha"
"1927/28 (1st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=1&view=3-Award%20Category-Chron","Janet Gaynor","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=6&view=1-Nominee-Alpha","Sunrise","http://awardsdatabase.oscars.org/Search/Nominations?filmId=961&view=2-Film%20Title-Alpha"
"1928/29 (2nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=2&view=3-Award%20Category-Chron","Mary Pickford","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=44&view=1-Nominee-Alpha","Coquette","http://awardsdatabase.oscars.org/Search/Nominations?filmId=968&view=2-Film%20Title-Alpha"
"1929/30 (3rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=3&view=3-Award%20Category-Chron","Norma Shearer","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=62&view=1-Nominee-Alpha","The Divorcee","http://awardsdatabase.oscars.org/Search/Nominations?filmId=982&view=2-Film%20Title-Alpha"
"1930/31 (4th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=4&view=3-Award%20Category-Chron","Marie Dressler","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=102&view=1-Nominee-Alpha","Min and Bill","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1006&view=2-Film%20Title-Alpha"
"1931/32 (5th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=5&view=3-Award%20Category-Chron","Helen Hayes","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=150&view=1-Nominee-Alpha","The Sin of Madelon Claudet","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1026&view=2-Film%20Title-Alpha"
"1932/33 (6th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=6&view=3-Award%20Category-Chron","Katharine Hepburn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=194&view=1-Nominee-Alpha","Morning Glory","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1051&view=2-Film%20Title-Alpha"
"1934 (7th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=7&view=3-Award%20Category-Chron","Claudette Colbert","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=259&view=1-Nominee-Alpha","It Happened One Night","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1076&view=2-Film%20Title-Alpha"
"1935 (8th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=8&view=3-Award%20Category-Chron","Bette Davis","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=327&view=1-Nominee-Alpha","Dangerous","http://awardsdatabase.oscars.org/Search/Nominations?filmId=729&view=2-Film%20Title-Alpha"
