"best_actor_year","best_actor_url","best_actor_name","best_actor_name_url","best_actor_film_name","best_actor_film_url"
"1927/28 (1st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=1&view=3-Award%20Category-Chron","Emil Jannings","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3&view=1-Nominee-Alpha","The Last Command","http://awardsdatabase.oscars.org/Search/Nominations?filmId=949&view=2-Film%20Title-Alpha"
"1927/28 (1st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=1&view=3-Award%20Category-Chron","Emil Jannings","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3&view=1-Nominee-Alpha","The Way of All Flesh","http://awardsdatabase.oscars.org/Search/Nominations?filmId=965&view=2-Film%20Title-Alpha"
"1928/29 (2nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=2&view=3-Award%20Category-Chron","Warner Baxter","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=43&view=1-Nominee-Alpha","In Old Arizona","http://awardsdatabase.oscars.org/Search/Nominations?filmId=970&view=2-Film%20Title-Alpha"
"1929/30 (3rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=3&view=3-Award%20Category-Chron","George Arliss","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=50&view=1-Nominee-Alpha","Disraeli","http://awardsdatabase.oscars.org/Search/Nominations?filmId=981&view=2-Film%20Title-Alpha"
"1930/31 (4th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=4&view=3-Award%20Category-Chron","Lionel Barrymore","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=96&view=1-Nominee-Alpha","A Free Soul","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1000&view=2-Film%20Title-Alpha"
"1931/32 (5th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=5&view=3-Award%20Category-Chron","Wallace Beery","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=145&view=1-Nominee-Alpha","The Champ","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1022&view=2-Film%20Title-Alpha"
"1932/33 (6th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=6&view=3-Award%20Category-Chron","Charles Laughton","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=192&view=1-Nominee-Alpha","The Private Life of Henry VIII","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1049&view=2-Film%20Title-Alpha"
"1934 (7th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=7&view=3-Award%20Category-Chron","Clark Gable","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=256&view=1-Nominee-Alpha","It Happened One Night","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1076&view=2-Film%20Title-Alpha"
"1935 (8th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=8&view=3-Award%20Category-Chron","Victor McLaglen","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=322&view=1-Nominee-Alpha","The Informer","http://awardsdatabase.oscars.org/Search/Nominations?filmId=725&view=2-Film%20Title-Alpha"
"1936 (9th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=9&view=3-Award%20Category-Chron","Paul Muni","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=406&view=1-Nominee-Alpha","The Story of Louis Pasteur","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1479&view=2-Film%20Title-Alpha"
"1937 (10th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=10&view=3-Award%20Category-Chron","Spencer Tracy","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=509&view=1-Nominee-Alpha","Captains Courageous","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1101&view=2-Film%20Title-Alpha"
"1938 (11th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=11&view=3-Award%20Category-Chron","Spencer Tracy","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=631&view=1-Nominee-Alpha","Boys Town","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1212&view=2-Film%20Title-Alpha"
"1939 (12th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=12&view=3-Award%20Category-Chron","Robert Donat","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=758&view=1-Nominee-Alpha","Goodbye, Mr. Chips","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1266&view=2-Film%20Title-Alpha"
"1940 (13th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=13&view=3-Award%20Category-Chron","James Stewart","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=895&view=1-Nominee-Alpha","The Philadelphia Story","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1320&view=2-Film%20Title-Alpha"
"1941 (14th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=14&view=3-Award%20Category-Chron","Gary Cooper","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1044&view=1-Nominee-Alpha","Sergeant York","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1385&view=2-Film%20Title-Alpha"
"1942 (15th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=15&view=3-Award%20Category-Chron","James Cagney","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1223&view=1-Nominee-Alpha","Yankee Doodle Dandy","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1161&view=2-Film%20Title-Alpha"
"1943 (16th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=16&view=3-Award%20Category-Chron","Paul Lukas","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1405&view=1-Nominee-Alpha","Watch on the Rhine","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1637&view=2-Film%20Title-Alpha"
"1944 (17th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=17&view=3-Award%20Category-Chron","Bing Crosby","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1594&view=1-Nominee-Alpha","Going My Way","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1737&view=2-Film%20Title-Alpha"
"1945 (18th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=18&view=3-Award%20Category-Chron","Ray Milland","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1763&view=1-Nominee-Alpha","The Lost Weekend","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1823&view=2-Film%20Title-Alpha"
"1946 (19th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=19&view=3-Award%20Category-Chron","Fredric March","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=1909&view=1-Nominee-Alpha","The Best Years of Our Lives","http://awardsdatabase.oscars.org/Search/Nominations?filmId=926&view=2-Film%20Title-Alpha"
"1947 (20th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=20&view=3-Award%20Category-Chron","Ronald Colman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2017&view=1-Nominee-Alpha","A Double Life","http://awardsdatabase.oscars.org/Search/Nominations?filmId=170&view=2-Film%20Title-Alpha"
"1948 (21st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=21&view=3-Award%20Category-Chron","Laurence Olivier","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2127&view=1-Nominee-Alpha","Hamlet","http://awardsdatabase.oscars.org/Search/Nominations?filmId=673&view=2-Film%20Title-Alpha"
"1949 (22nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=22&view=3-Award%20Category-Chron","Broderick Crawford","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2231&view=1-Nominee-Alpha","All the King's Men","http://awardsdatabase.oscars.org/Search/Nominations?filmId=287&view=2-Film%20Title-Alpha"
"1950 (23rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=23&view=3-Award%20Category-Chron","José Ferrer","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2347&view=1-Nominee-Alpha","Cyrano de Bergerac","http://awardsdatabase.oscars.org/Search/Nominations?filmId=403&view=2-Film%20Title-Alpha"
"1951 (24th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=24&view=3-Award%20Category-Chron","Humphrey Bogart","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2456&view=1-Nominee-Alpha","The African Queen","http://awardsdatabase.oscars.org/Search/Nominations?filmId=456&view=2-Film%20Title-Alpha"
"1952 (25th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=25&view=3-Award%20Category-Chron","Gary Cooper","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2578&view=1-Nominee-Alpha","High Noon","http://awardsdatabase.oscars.org/Search/Nominations?filmId=515&view=2-Film%20Title-Alpha"
